강의명,교수명,개설학기,교재명,교재링크
한국근현대사,조민지,2021-2/2021-1/2020-2/2020-1/2019-2/2019-1,,
미학,이정은,2021-2/2021-1/2020-2/2020-1/2019-2,,
비즈니스컴퓨팅(1),정유진,2021-2/2021-1/2020-2/2020-1/2019-2/2019-1/2018-2/2018-1,회사에서 바로 통하는 엑셀,http://www.kyobobook.co.kr/product/detailViewKor.laf?barcode=9788968483356
경영학의이해,이주현,2021-2/2021-1/2020-2/2020-1/2019-2/2019-1/2018-2/2018-1,경영학의 이해,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9788942008773&orderClick=LEa&Kc=
인터넷활용,이근정,2021-2/2021-1/2020-1,HTML5 웹 프로그래밍 입문,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791156644552&orderClick=LEa&Kc=
국제개발협력의 이해,김인,2021-1/2020-1/2019-1/2018-1,,
연극의이해,김태희,2021-2/2021-1/2020-2,,
정치학입문,권수현,2021-2/2021-1/2020-2/2020-1/2019-2/2019-1/2018-2,,
교양영어1,이영규,2021-1/2020-1/2019-1/2018-1/2017-1/2016-1/2015-1,,
일반생물학및실험(1),김용범,2021-1/2020-1/2019-1/2018-1/2017-1/2016-1/2015-1,생명과학(개념과 현상의 이해),http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9788961542814&orderClick=LAG&Kc=
의학용어,김윤석,2021-1/2020-1/2019-1/2018-1/2017-1/2016-1/2015-1,보건의료인을 위한 의학용어,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9788992971195&orderClick=LAG&Kc=
우리교육의어제와오늘,고요한,2021-2/2021-1/2020-2/2020-1/2019-2/2019-1,,
분석화학,팽기정,2021-1/2020-1/2019-1/2018-1/2017-1/2016-1/2015-1,분석화학(Analytical Chemistry),http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9791158080099&orderClick=LAG&Kc=
법학개론,김한성,2021-2/2021-1/2020-2/2020-1/2019-2/2019-1/2018-2,,
독일어(1),남일우,2021-1/2020-1,가장 쉬운 독일어 첫걸음의 모든 것,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9788983007827&orderClick=LEA&Kc=
바이러스학,박준수,2021-2/2020-2/2019-2/2018-2/2017-2/2016-2,Introduction to Modern virology,http://www.kyobobook.co.kr/product/detailViewEng.laf?ejkGb=ENG&mallGb=ENG&barcode=9781119978107&orderClick=LAG&Kc=
글쓰기,채예람,2021-2/2021-1/2020-2/2020-1/2019-2/2019-1/2018-2,현대사회와 비판적 글쓰기,http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KOR&mallGb=KOR&barcode=9788962924404&orderClick=LEa&Kc=
인류진화의오디세이,신주옥,2021-2/2021-1/2020-2/2020-1/2019-2/2019-1,,
열역학,박병규,2021-1/2020-2,,